,Adj Close,Close,High,Low,Open,Volume
2016-11-16,25086.517578125,31160.0,31280.0,30800.0,30800.0,13308200
2016-11-17,25247.53125,31360.0,31520.0,30900.0,31100.0,7870550
2016-11-18,25537.359375,31720.0,31760.0,31400.0,31640.0,9460750
2016-11-21,25650.07421875,31860.0,32120.0,31300.0,31300.0,8180200
2016-11-22,26406.853515625,32800.0,32900.0,32000.0,32140.0,9751100
2016-11-23,26551.771484375,32980.0,33220.0,32520.0,33220.0,12668600
2016-11-24,26567.875,33000.0,33040.0,32660.0,32980.0,7757150
2016-11-25,26567.875,33000.0,33040.0,32660.0,32820.0,6276900
2016-11-28,27002.611328125,33540.0,33620.0,32800.0,33000.0,13294050
2016-11-29,27002.611328125,33540.0,33960.0,33380.0,33800.0,18081300
2016-11-30,28113.640625,34920.0,34940.0,33540.0,33540.0,28535200
2016-12-01,28161.943359375,34980.0,35060.0,34660.0,34800.0,15535350
2016-12-02,27807.705078125,34540.0,34760.0,34140.0,34480.0,15352950
2016-12-05,27662.791015625,34360.0,34680.0,34220.0,34340.0,8484600
2016-12-06,28145.84765625,34960.0,35200.0,34400.0,34440.0,14001800
2016-12-07,28532.287109375,35440.0,35480.0,35040.0,35040.0,9603650
2016-12-08,28822.115234375,35800.0,36020.0,35520.0,35980.0,16462550
2016-12-09,28661.095703125,35600.0,35900.0,35400.0,35900.0,10652450
2016-12-12,28210.25,35040.0,35360.0,34660.0,34660.0,11414450
2016-12-13,28435.673828125,35320.0,35440.0,34620.0,34620.0,11684450
2016-12-14,28612.796875,35540.0,35680.0,35280.0,35560.0,7455100
2016-12-15,28322.966796875,35180.0,35500.0,34820.0,34820.0,5773550
2016-12-16,28870.419921875,35860.0,36020.0,35200.0,35300.0,11747700
2016-12-19,28902.625,35900.0,36380.0,35620.0,35620.0,5435800
2016-12-20,29176.357421875,36240.0,36400.0,35840.0,35920.0,7615200
2016-12-21,29063.640625,36100.0,36600.0,36020.0,36360.0,6552100
2016-12-22,29128.05078125,36180.0,36300.0,35980.0,36260.0,6354600
2016-12-23,28693.3046875,35640.0,36080.0,35600.0,36020.0,8334850
2016-12-26,28950.9296875,35960.0,36000.0,35560.0,35600.0,4823600
2016-12-27,28967.037109375,35980.0,36200.0,35860.0,35980.0,4653450
2016-12-28,29236.833984375,35760.0,35980.0,35600.0,35840.0,6662900
2016-12-29,29465.7578125,36040.0,36040.0,35400.0,35420.0,7516450
2017-01-02,29514.8125,36100.0,36240.0,35880.0,35980.0,4650600
2017-01-03,29825.494140625,36480.0,36620.0,36020.0,36280.0,7357650
2017-01-04,29563.876953125,36160.0,36520.0,36100.0,36500.0,7971750
2017-01-05,29073.3203125,35560.0,36060.0,35540.0,36060.0,10967450
2017-01-06,29596.5703125,36200.0,36440.0,36040.0,36180.0,8880950
2017-01-09,30430.50390625,37220.0,37500.0,36560.0,36600.0,13194900
2017-01-10,30446.85546875,37240.0,37400.0,37080.0,37280.0,9099800
2017-01-11,31297.134765625,38280.0,38560.0,37420.0,37520.0,12018150
2017-01-12,31722.294921875,38800.0,38800.0,37980.0,38000.0,11669150
2017-01-13,30626.728515625,37460.0,38320.0,37460.0,38100.0,15954450
2017-01-16,29972.66796875,36660.0,37820.0,36320.0,36860.0,16611500
2017-01-17,30217.94140625,36960.0,37460.0,36580.0,36580.0,8150700
2017-01-18,30201.587890625,36940.0,37500.0,36620.0,37040.0,8875400
2017-01-19,30643.078125,37480.0,37920.0,37020.0,37720.0,9418900
2017-01-20,30414.15625,37200.0,37420.0,36880.0,37120.0,9185000
2017-01-23,31117.28515625,38060.0,38060.0,37000.0,37200.0,8810400
2017-01-24,31199.03125,38160.0,38580.0,37880.0,38120.0,11048750
2017-01-25,32212.83984375,39400.0,39400.0,38320.0,38340.0,13433850
2017-01-26,32621.630859375,39900.0,40000.0,39420.0,39420.0,15214500
2017-01-31,32261.89453125,39460.0,39900.0,39460.0,39900.0,17992200
2017-02-01,31983.921875,39120.0,39660.0,39040.0,39540.0,14150400
2017-02-02,32180.138671875,39360.0,39660.0,39200.0,39600.0,15029300
2017-02-03,32261.89453125,39460.0,39500.0,39180.0,39400.0,10386350
2017-02-06,32343.65625,39560.0,39660.0,39140.0,39580.0,8860700
2017-02-07,31738.64453125,38820.0,39580.0,38760.0,39560.0,14041800
2017-02-08,31395.25,38400.0,38780.0,38200.0,38740.0,17092950
2017-02-09,31395.25,38400.0,38840.0,38220.0,38780.0,13694150
2017-02-10,31362.552734375,38360.0,38760.0,38300.0,38400.0,11020750
2017-02-13,31035.525390625,37960.0,38060.0,37720.0,37740.0,11102050
2017-02-14,30724.83984375,37580.0,38260.0,37320.0,37960.0,13124150
2017-02-15,30839.30078125,37720.0,37960.0,37080.0,37080.0,14191550
